10000	1885
20000	4434
30000	7503
40000	11195
50000	15401
60000	19991
70000	25123
80000	30602
90000	36477
100000	42728
110000	49279
120000	56149
130000	63238
140000	70542
150000	78137
160000	85786
170000	93707
180000	101774
190000	110012
200000	118374
